CID	Molecule	washed	WID	mol_nHeavyAtoms	mol_MW	MID	core	core_nHeavyAtoms	core_MW
442665	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)C2=C3C(=C(C(=C2O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C(=O)C=C(O3)C5=CC=C(C=C5)O)O)O)O	CC1OC(c2c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)C(O)C(O)C1O	W39	41	579	M51	CC1OC(c2c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c3c(=O)ccoc23)C(O)C(O)C1O	34	486
442665	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)C2=C3C(=C(C(=C2O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C(=O)C=C(O3)C5=CC=C(C=C5)O)O)O)O	CC1OC(c2c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)C(O)C(O)C1O	W39	41	579	M52	CC1OC(c2c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)C(O)C(O)C1O	41	579
442768	COC1=C(C=C2C(=CC(=O)OC2=C1)C3=CC=CC=C3)O	COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O	W40	20	268	M53	COc1cc2oc(=O)ccc2cc1O	14	192
442768	COC1=C(C=C2C(=CC(=O)OC2=C1)C3=CC=CC=C3)O	COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O	W40	20	268	M54	COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O	20	268
586387	COC1=CC=C(C=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O	COc1ccc(C2Oc3cc(O)cc(O)c3C(=O)C2O)cc1	W41	22	302	M55	COc1ccc(C2Oc3cc(O)cc(O)c3C(=O)C2O)cc1	22	302
591624	COC1=CC(=C(C=C1)C2CC3=C(C=C(C=C3)OC)OC2)O	COc1ccc(C2COc3cc(OC)ccc3C2)c(O)c1	W42	21	286	M56	COc1ccc(C2COc3cc(OC)ccc3C2)c(O)c1	21	286
14058036	COC1=CC(=C(C=C1)[C@H]2CC3=C(C=C(C=C3)OC)OC2)O	COc1ccc(C2COc3cc(OC)ccc3C2)c(O)c1	W42	21	286	M56	COc1ccc(C2COc3cc(OC)ccc3C2)c(O)c1	21	286
44446856	COC1=CC(=C(C=C1)[C@@H]2CC3=C(C=C(C=C3)OC)OC2)O	COc1ccc(C2COc3cc(OC)ccc3C2)c(O)c1	W42	21	286	M56	COc1ccc(C2COc3cc(OC)ccc3C2)c(O)c1	21	286
591830	COC1=C(C=CC(=C1)O)C2CC3=C(C=C(C=C3)O)OC2	COc1cc(O)ccc1C1COc2cc(O)ccc2C1	W43	20	272	M57	COc1cc(O)ccc1C1COc2cc(O)ccc2C1	20	272
612994	C1=CC2=C3C(=C1)C(=O)NC4=CC=CC(=C43)C=C2	O=c1[nH]c2cccc3ccc4cccc1c4c32	W44	17	219	M58	O=c1[nH]c2cccc3ccc4cccc1c4c32	17	219
